,words,clues
2258,ROOSEVELT,Only president to scale the Matterhorn
2259,AMORE,"Love, to Lorenzo"
2260,INTERIM,Temporary
2261,ORGANDY,"Fine, thin cotton fabric"
2262,NYE,"Bill ___, the Science Guy"
2263,ROOT,Cheer (for)
2264,HOSE,Women's stockings
2265,HARRISON,Only president whose grandfather was also president
2266,HOP,Move like a bunny
2267,COMETS,Space streakers
2268,MAS,Moms
2269,WORE,Had on
2270,OBAMA,Only president born outside the continental United States
2271,DOG,Bo or Checkers
2272,TYLER,Only president to have 15 children
2273,PICS,"Photos, informally"
2274,JOT,"Make a quick note of, with ""down"""
2275,ERNEST,Writer Hemingway
2276,ETA,Airport pickup driver's info
2277,BUCHANAN,Only president to be a lifelong bachelor
2278,DARN,"Mend, as socks"
2279,YELL,Cheerleader's cheer
2280,PRE,Lead-in to historic
2281,STATION,Washington's Union ___
2282,NIELSEN,TV ratings name
2283,HAMID,Former Afghan leader Karzai
2284,CLEVELAND,Only president to be married in the White House
2285,EFILE,Submit a tax return online
2286,ATIE,End in ___ (require overtime)
2287,CLEO,"Marc Antony's lover, informally"
2288,STATS,Sports figures?
2289,ADDN,Building annex: Abbr.
2290,SMEW,Eurasian duck
2291,DARIN,"""Mack the Knife"" singer Bobby"
2292,AGONY,Excruciating pain
2293,WROTE,Worked on an essay or novel
2294,NOSE,Scent picker-upper
2295,SAVIORS,Redeemers
2296,TREMOR,Sign of an earthquake
2297,AIL,Be sick
2298,NATO,"Defense alliance since 1949, for short"
2299,ARAGON,Catherine of ___
2300,LAMAS,Tibetan priests
2301,OZONEHOLE,Seasonal thinning in the atmosphere over Antarctica
2302,FORD,Only president to serve as both vice president and president without being elected to either office
2303,TREY,Card that just beats a deuce
2304,ERRATA,Printing mistakes
2305,RHOS,Greek P's
2306,TIMOTHY,Dalton who played 007
2307,HEMS,___ and haws
2308,SAG,Give in to gravity
2309,ORES,Iron and tin sources
2310,PERT,Saucy
2311,COPE,Deal (with)
2312,OBIT,Last words?
2313,MACADAMIA,Nut from Hawaii
2314,WYNN,Vegas casino developer Steve
2315,DOC,Bespectacled Disney dwarf
2316,TRALEE,"Tourist destination in County Kerry, Ireland"
2317,JUNO,"Roman goddess, protector of women and marriage"
2318,ENLIVEN,Jazz up
2319,BRIDES,Wedding figures
2320,AENEID,Epic poem starting with the flight from Troy
2321,ATILT,Slanted
2322,PSALM,Sacred song
2323,RENEE,Soprano Fleming
2324,ENDOW,"Fund, as a university chair"
2325,SHES,"Tom Jones's ""___ a Lady"""
2326,TAFT,Only president to administer the oath of office to two other presidents
2327,NCAA,March Madness org.
2328,LLCS,Legal entities for partnerships: Abbr.
2329,LTD,"Inc., overseas"
2330,BLACKBOARD,Menu holder at many a cafe
2331,AUS,Where Schwarzenegger was born: Abbr.
2332,BLACKSEA,Body of water near Georgia
2333,BAMBOO,Shoots in the jungle
2334,MPH,Abbr. on a ticket
2335,HANS,Composer Zimmer with four Grammys
2336,ELICIT,Provoke
2337,PRIVATES,Grunts
2338,ALT,Cockpit reading: Abbr.
2339,LEV,Book after Exod.
2340,ONETIME,Erstwhile
2341,ROTC,"Some campus marchers, briefly"
2342,EMOTE,"Overdo it, in a way"
2343,AIR,Show
2344,TERMINATOR,"1984 movie with a 100% positive rating on Rotten Tomatoes, with ""The"""
2345,TET,Hanoi holiday
2346,DOTCOM,End of an address
2347,SES,French possessive
2348,ASYMMETRY,"Feature of this puzzle that's ""fixed"" by a literal reading of four squares"
2349,BLACKCAT,Worry for the superstitious
2350,OTHERS,The rest
2351,MAL,"Ill, in Lille"
2352,AESTHETICS,It's a matter of taste
2353,ARA,Longtime Notre Dame coach Parseghian
2354,INTHEBLACK,Solvent
2355,ARAB,Pan-___
2356,INSIDER,Leak source
2357,RKO,Film studio once owned by Howard Hughes
2358,USE,Take advantage of
2359,LAKEERIE,Maumee River outlet
2360,ELAPSE,Go by
2361,EGAD,"""Gosh!"""
2362,GPA,"A good one gets you on a list, briefly"
2363,YELLER,Old ___
2364,DEN,Cubs' home
2365,YET,Nevertheless
2366,SOLED,Thick-___ shoes
2367,BLACKBEAR,University of Maine mascot
2368,BALLOT,Tickets are found on it
2369,OMITTED,Left out
2370,ABC,"""Modern Family"" network"
2371,ROIL,Stir up
2372,DOTE,"Coddle, with ""on"""
2373,AMP,Gig need
2374,UPROOT,Displace
2375,SHINTO,Religion with public shrines
2376,BLACKHAT,Villain
2377,SATIATE,Give plenty
2378,ENEMIES,"Pakistan and India, e.g."
2379,ASSERT,Claim
2380,VEER,Really go out of one's way?
2381,VENOM,Bile
2382,CROAT,Hungarian's neighbor
2383,MAMMOTH,Animal found in the La Brea Tar Pits
2384,MTS,Ski area locales: Abbr.
2385,ICY,"Needing salt, maybe"
2386,SYRIA,Civil war locale beginning in 2011
2387,ETHER,It will put you to sleep
2388,THEBLACKKEYS,Five-time Grammy-winning duo from the 2010s
2389,RET,Abbr. in a military title
2390,BLACKMAILED,Extorted from
2391,CARNAGE,Result of war
2392,ALASKAN,Like malamutes
2393,SCRUPLE,Small moral misgiving
2394,AIDE,Senate staffer
2395,ENERGY,Cabinet department
2396,STRIPE,Feature of a credit card
2397,SASSED,Gave lip
2398,BEER,"""Suds"""
2399,IED,Mil. danger
2400,OLEO,Butter substitute
2401,EAT,"Snack, say"
2402,ALL,Word after a number in a score
2403,ARMOR,"Exoskeleton, e.g."
2404,SLOB,One who's slow to pick things up?
2405,RAH,"When repeated, zealous"
2406,SOAMI,"""Likewise"""
2407,PAPA,Leader of the Smurfs
2408,SOLO,Jam session highlight
2409,STRAP,Gym bag attachment
2410,AMEN,"""You can say that again!"""
2411,MOTT,Seneca Falls orator Lucretia
2412,HAROLDANDKUMAR,Friends who go to White Castle in a 2004 film
2413,SEE,"""Didn't I tell you?"""
2414,BAE,"Main squeeze, in modern lingo"
2415,BIO,Class teaching about DNA
2416,PRAETORIANGUARD,Romans who protected the emperor
2417,BIBLE,See 33-Across
2418,CRASH,"Go to bed, informally"
2419,JOEL,Follower of Hosea in the 31-Across
2420,SWISS,Cheese choice
2421,HOOP,Its diameter is roughly twice that of a basketball
2422,EATEN,"No longer on one's plate, say"
2423,SUNUP,Bedtime for a vampire
2424,FOUNDINGFATHERS,Countrymen who met in Philadelphia in 1787
2425,EMS,Ambulance letters
2426,ALT,___-rock
2427,LIP,Freshness
2428,LENDMEYOUREARS,"Shakespearean entreaty appropriate for 19-, 25- and 43-Across?"
2429,OLAY,Nivea rival
2430,TATI,Jacques who played Monsieur Hulot
2431,TRAIL,Scout's route
2432,NEVE,"Campbell of ""House of Cards"""
2433,TROD,Walked heavily
2434,ELIZA,"Lady of ""My Fair Lady"""
2435,STY,Where hogs go hog-wild?
2436,ODES,Sapphic works
2437,ROLEX,Luxury brand with a crown logo
2438,ASS,Buffoon
2439,ROTH,Kind of I.R.A.
2440,MARA,"Rooney ___, 2016 Oscar nominee for ""Carol"""
2441,OMAR,Mosque of ___ (Jerusalem shrine)
2442,RIPOSTE,Clever comeback
2443,SPADER,"James who voiced Ultron in ""Avengers: Age of Ultron"""
2444,LAMA,Prayer wheel turner
2445,OPENBARS,Places where spirits flow freely
2446,BANDANAS,Headwear for some rockers
2447,ROOMBA,Automated floor cleaner
2448,ALTAIR,Brightest star in the Eagle constellation
2449,HOTROD,Vehicle in a drag race
2450,SMU,Dallas sch.
2451,LEO,"Passionate, outgoing sort, astrologically"
2452,KEGS,Beer blast purchases
2453,PBJ,"Basic lunch sandwich, informally"
2454,RIO,Brazilian-themed Vegas hotel
2455,ABE,Japanese P.M. Shinzo ___
2456,ELLEN,Page in a Hollywood film
2457,ICING,Cake coating
2458,UHHUH,"""Ri-i-i-ight ..."""
2459,STILETTO,Certain high heel
2460,WENTYARD,"Hit a home run, in baseball lingo"
2461,ONE,Number of emails sent by Warren Buffett in his entire life
2462,OUR,"Dickens's ""___ Mutual Friend"""
2463,PPS,"And another thing, on a letter"
2464,ADAM,"Police dispatcher's ""A"""
2465,STPETER,Noted gatekeeper
2466,FELONS,Mug shot subjects
2467,OMELET,"""Western"" or ""Spanish"" dish"
2468,USNAVY,"""Not for self but for country"" sloganeer"
2469,FLUIDS,What doctors recommend that sick people get a lot of
2470,AIR,It's mostly nitrogen
2471,DYE,Clairol product
2472,OTOE,Great Plains tribe
2473,ARLO,Janis's partner in the comics
2474,RAIL,Billiards cushion
2475,SIZE,Carry-on concern
2476,LAX,Not really enforcing the rules
2477,RACKOFLAMB,Its ribs stick out
2478,PISH,"""Fiddlesticks!"""
2479,ELAINECHAO,First Chinese-American cabinet member
2480,ONTO,Seeing through
2481,BUTTERDISH,Where to stick a stick
2482,ODIN,Owner of the horse Sleipnir
2483,AMO,Latin 101 word
2484,SGT,Abbr. before Friday
2485,HOTLICK,Improvised jazz strain
2486,WAIVE,Surrender
2487,CREAKY,Showing signs of age
2488,INHALE,Rapidly down
2489,NOHO,Artsy L.A. district
2490,NYT,Washington Post competitor: Abbr.
2491,NEILL,"""Jurassic Park"" co-star Sam"
2492,SATIN,Teddy material
2493,FRO,"Not to, say"
2494,BODE,Omen
2495,CUBIC,Like the function ax^3 + bx^2 + cx + d
2496,COIN,Come up with
2497,AND,Word sometimes elided to its middle letter
2498,FOILS,Thwarts
2499,SHOCK,[!!!!]
2500,DYE,The Romans obtained a purple one from snails
2501,ANTE,Draw money?
2502,SHADES,They're often drawn at night
2503,TENHUT,Base order
2504,STPAT,Mar. figure
2505,ALMANAC,Record of the year?
2506,RIP,Castigate
2507,TRE,Colosseum crowd?
2508,SLID,"Dropped, as poll numbers"
2509,CHAINEMAIL,Certain Internet hoax
2510,TOKE,Take a hit
2511,TEXTALERTS,"News of flight delays, say"
2512,EWES,Sources of ricotta cheese
2513,STEELYGAZE,Unwavering look
2514,REBA,First name in country
2515,ALUM,"Occasional ""S.N.L."" host, to ""S.N.L."""
2516,CATO,"Who wrote ""Wise men learn more from fools than fools from the wise"""
2517,KIT,Vixen's offspring
2518,ONESALL,"""110%"" effort"
2519,FERGIE,Vocalist for the Black Eyed Peas
2520,LCDTV,Flat tube?
2521,AHI,Tuna type
2522,MASH,"Button-___ (hit everything at once, in gamer lingo)"
2523,BOHOCHIC,Hippie-influenced fashion trend
2524,POOLE,"Grace ___, servant in ""Jane Eyre"""
2525,INDIANFOOD,"Curries, samosas, etc."
2526,STICKYRICE,Staple of Thai cuisine
2527,HONKYTONKS,Dives
2528,TRON,Suffix with magne-
2529,WALE,Corduroy rib
2530,ENABLES,Turns on
2531,INBADTASTE,Vulgar
2532,NEONYELLOW,Highlighter color
2533,HIDDENMIKE,Bug
2534,OTIS,Big name in escalators
2535,SUIT,"Diamonds, e.g."
2536,CONTACTS,Smartphone heading
2537,CHAT,Some back-and-forth
2538,FAUN,Mythical piper
2539,SHAPELY,Voluptuous
2540,SPINAL,Kind of column
2541,HADES,Another name for Pluto
2542,TRITE,Used too much
2543,CHET,Jazzman Baker
2544,TARA,"Reid of ""Sharknado"""
2545,RITZ,"Luxury hotel in London's Piccadilly district, with ""the"""
2546,ELSE,"Word after who, what or where"
2547,AXE,Hacker's tool
2548,MEG,Part of a gig
2549,CANDO,"""No problem for me!"""
2550,LIMA,Peru's capital
2551,EPPS,"Omar of Fox's ""House"""
2552,BLEAK,"Dickens's ""___ House"""
2553,APOP,Per item
2554,ALOE,Hand lotion ingredient
2555,STARESDOWN,"Intimidates, in a way"
2556,TAPE,Crime scene barrier
2557,ATTENDS,"Goes to, as a meeting"
2558,EASIER,Not as hard
2559,SFO,Airport up the coast from LAX
2560,FAD,"Flash mobs, once"
2561,NYE,"""Science Guy"" Bill"
2562,ARP,"Jean ___, father of Dadaism"
2563,FUDGE,"""Oh, darn!"""
2564,AMPED,Fired (up)
2565,PEACETIME,Period between wars
2566,MAA,Goat's cry
2567,EXPO,"World's fair, for short"
2568,SEALS,Circus animals that balance beach balls on their noses
2569,UPON,"""When You Wish ___ a Star"""
2570,ELI,Manning who was twice Super Bowl M.V.P.
2571,TIMEPIECE,Watch or clock
2572,RERAN,"Showed in syndication, say"
2573,ELENA,Justice Kagan
2574,RTE,Numbered hwy.
2575,EXP,Abbr. before a credit card date
2576,SAD,Feeling blue
2577,SIM,___ card (cellphone chip)
2578,DOLAPS,Exercise in a pool
2579,SEENOTE,Cross-reference for further information
2580,STAG,Male deer
2581,DOWNSTAIRS,On a lower floor
2582,EINE,"""___ kleine Nachtmusik"""
2583,OVID,"""Ars Amatoria"" poet"
2584,ENEMY,Foe
2585,ACES,Ones in suits?
2586,IAMS,Big name in pet food
2587,RADAR,Aid in storm-tracking
2588,CBS,"""2 Broke Girls"" airer"
2589,ALTA,Ski area near Salt Lake City
2590,NEAT,"""Cool!"""
2591,DARTS,Pub game
2592,OKEEFFE,Artist Georgia who is known for her flower canvases
2593,LADD,"Cheryl of ""Charlie's Angels"""
2594,IPOS,Wall St. debuts
2595,MOW,Trim the lawn
2596,APNEA,Sleeper's problem
2597,EATS,Has supper
2598,PLAINPAPER,Unlined sheets without any writing
2599,POPEYE,Sailor who's smitten by Olive Oyl
2600,SEERED,Get angry
2601,SNOUTS,Pig noses
2602,ADAM,Name first encountered in Genesis 2
2603,FEELME,"""Understand?,"" slangily"
2604,APE,Big galoot
2605,REX,Tyrannosaurus ___
2606,PAPERPLANE,Classroom missile
2607,DIETED,Followed a weight-loss plan
2608,GMAIL,Alternative to AOL or Yahoo
2609,MAUI,Island ESE of Oahu
2610,COLA,"Pepsi, for one"
2611,SENSES,Just knows
2612,OCT,Month before Nov.
2613,NEE,Born: Fr.
2614,INSP,Police dept. figure
2615,PAINTER,Van Gogh or Van Dyck
2616,REDSEA,Moses parted it
2617,EXOTIC,Beautifully strange
2618,ASDOI,"""Me, too"""
2619,MOANA,2016 Disney film set in Polynesia
2620,AGES,"10 and 8 for Bart and Lisa Simpson, respectively"
2621,SWIM,"Do the breaststroke, e.g."
2622,ENDS,Terminals
2623,TIED,Like the score 7-7
2624,ERMA,Humorous Bombeck
2625,OVA,Lab eggs
2626,SYR,Damascus's land: Abbr.
2627,LASERTAG,War game
2628,SQUIBS,Short write-ups
2629,USEDTOBE,"""Time was ..."""
2630,SUNDAE,Treat eaten with a spoon
2631,SPIKELEE,"2007 N.A.A.C.P. Image Award winner for ""Inside Man"""
2632,RATEDA,Top-notch
2633,TINO,Baseball's Martinez
2634,LAWS,They're on the books
2635,DOCKS,Deducts from
2636,ERECT,Like a zebra's mane
2637,THAWS,Détentes
2638,LAO,Language traditionally written without spaces between words
2639,REDHAT,Cardinal topper
2640,ILA,Wharf workers' grp.
2641,DARN,"""Nuts!"""
2642,YOWZAH,"""Holy cow!"""
2643,ORME,"""Her ___"" (""Miss Saigon"" song)"
2644,HAWKEYE,Resident of the Corn State
2645,MOPHEAD,Challenge for a barber
2646,ACHE,"Lovesickness, e.g."
2647,CARIOU,"1973 Tony nominee for ""A Little Night Music"""
2648,VTEN,Power-packed engine
2649,ASA,___ comparison
2650,SPASMS,Contractual problems?
2651,EAN,The end of Caesar?
2652,DREWS,Barrymore and more
2653,STOIC,Not easily moved
2654,ALTHO,E'en if
2655,LEHI,City on Utah Lake
2656,TODO,Fuss
2657,COHOST,One of two party leaders
2658,GETSATAN,"Browns, in a way"
2659,ONELAP,Full circuit
2660,GEEKCHIC,"High-rise pants and horn-rimmed glasses, say"
2661,WENDYS,"""Deliciously Different"" sloganeer"
2662,STAYHERE,"""Sit tight"""
2663,LUSTER,Satiny quality
2664,ASPIRE,Be a wannabe
2665,SEINED,"Netted, in a way"
2666,EDKOCH,Key figure in saving New York City from bankruptcy
2667,RTE,GPS generation: Abbr.
2668,TOLL,Something needed to raise the bar?
2669,ABEAT,Not miss ___
2670,GEEWHIZ,"""You don't say!"""
2671,SSR,Old map abbr.
2672,QUADS,Squats strengthen them
2673,UNTO,"""___ a broken heart"": Dickinson"
2674,IDECLARE,"""You don't say!"""
2675,BADKARMA,Just deserts for misconduct
2676,SEASONED,Salted away?
2677,SALAMI,Part of many a submarine
2678,TAYE,"""Rent"" actor Diggs"
2679,WAHOOS,Shouts heard at a rodeo
2680,TOYCAR,Hot Wheels product
2681,DOH,"""How stupid am I!"""
2682,WEASEL,Sneak
2683,HAVEACOW,Flip
2684,ACTALONE,Have no accomplice
2685,WHENTHEN,"Response to ""Not now,"" often"
2686,KEN,Perception
2687,PUPS,Things weighed in pounds?
2688,RAWEGGS,"Distinctive features of tamago gohan servings, in Japanese cuisine"
2689,ATTACH,"Clip, say"
2690,SOOTHE,Palliate
2691,MIDAIR,Like some catches and crashes
2692,SCONCE,Keeper of the flame?
2693,DOSAY,"""Tell me more"""
2694,SHEET,Unit of rain or ice
2695,HOLD,Ship or plane part
2696,ITEA,Virginia willow's genus
2697,TPS,Covers with some rolls
2698,SKY,It's way over your head
2699,JEAN,___ jacket (bit of casualwear)
2700,CHILI,"Dish that's sometimes rated in ""alarms"""
2701,WHEY,Curds and ___
2702,AXLE,Wagon part
2703,TONAL,Like much music
2704,HALE,In fine fettle
2705,VAST,Widespread
2706,ABBIE,1960s activist Hoffman
2707,OWNS,Has
2708,AMONG,___ friends (not having to be on one's guard)
2709,BANDB,"Quaint inn, informally"
2710,AIM,"Cry after ""Ready!"""
2711,ERRED,Muffed one
2712,URSINE,Bearlike
2713,BORGIAS,Powerful Renaissance family
2714,EDITION,A book collector might seek a first one
2715,ONHAND,Available
2716,AMIGA,Spanish girlfriend
2717,BOOT,Italy's shape
2718,INDIA,"Setting for much of the movie ""Lion"""
2719,NADA,Zippo
2720,INCAS,People encountered by Pizarro
2721,BODIES,Things ghosts lack
2722,LATVIAN,Riga native
2723,ALLURES,Charms
2724,ASWELL,In addition
2725,SLEEP,What tryptophan is said to induce
2726,SPA,"Place to go for a ""me day"""
2727,ELVES,Munchkins
2728,OGDEN,"Nash who wrote ""Parsley / Is gharsley"""
2729,TINA,Turner or Fey
2730,EATAT,Bother greatly
2731,URGE,"Tell to ""Do it!"""
2732,ERGO,Lead-in to a conclusion
2733,FLICK,"Movie, informally"
2734,YOGA,Class with mats
2735,DESK,Feature of a late-night show set
2736,TENET,Words to live by
2737,SPOT,Catch sight of
2738,JAVA,Morning joe
2739,EXAM,Start of many a doctor's visit
2740,ALSO,In addition
2741,NETNEGATIVE,Outcome that's overall unfavorable
2742,CTA,Windy City 'L' overseer
2743,HOBBES,Imaginary tiger friend in the comics
2744,INBAD,Not on good terms (with)
2745,LAIN,Done nothing
2746,ILEDUDIABLE,"Infamous prison featured in the 1969 best seller ""Papillon"""
2747,WHO,"""___ knew?"""
2748,HAWAII,Southernmost U.S. state
2749,ELNINO,Weather concern in 11-Down
2750,YESMEN,Lackeys
2751,GRIN,Sheepish look
2752,BRIG,Two-masted vessel
2753,RADICALLEFT,Socialist Workers Party's ideology
2754,STANDUPGUYS,Honest sorts ... or what the circled squares contain?
2755,BOB,Palindromic boy's name
2756,ONO,"""Be My Yoko ___"" (first single by Barenaked Ladies)"
2757,RHO,Pi's follower
2758,EMI,Former Big Four record co.
2759,ADS,They're taken out in newspapers
2760,NAN,Palindromic girl's name
2761,AIR,Lungful
2762,DEE,Hollywood ending?
2763,ASS,Nincompoop
2764,NILE,River that feeds Lake Nasser
2765,OLEO,Topping in kosher restaurants
2766,LASTED,Didn't run out
2767,ASPIRE,Have dreams
2768,TWANGS,Features of some country singers
2769,ALSACE,Region on the Rhine
2770,SETIN,Took effect
2771,VALE,Area between mountains
2772,DROP,Plunge
2773,EGGO,Breakfast food with a rhyming slogan
2774,NEAT,In order
2775,AOK,Totally fine
2776,TKT,Box office purchase: Abbr.
2777,DISPLAYCASES,You'll see things in them you can't handle
2778,MOMMIEDEAREST,Best-selling celebrity tell-all book of 1978
2779,COMPANIONPIECE,Something work-related
2780,VENIAL,Forgivable
2781,SNAPAT,Answer rudely
2782,IRONCLAD,"Inflexible, as rules"
2783,DIPS,Stock market events
2784,RECUT,"Edited for television, maybe"
2785,ROSEANNE,"Sitcom set in Lanford, Ill."
2786,GALS,Ben-___ (N.F.L. cheerleading squad)
2787,LESABRE,Final car built in Buick City before its shutdown
2788,OLE,Estadio cheer
2789,MINIVAC,A little cleaner
2790,DAM,Fish ladder site
2791,FARADAY,Physicist who formulated the two laws of electrolysis
2792,BETA,What bugs are found in
2793,CLOSESON,Completes the purchase of
2794,XENON,Gas in an ion thruster
2795,MOOR,Medieval invader of Spain
2796,STETSONS,Tops of the Mounties
2797,OBAMAS,Onetime White House family
2798,SETTEE,Parlor fixture
2799,DANISHPASTRIES,"They're known as ""Viennese bread"" in Scandinavia"
2800,ELECTIONEERED,"Helped someone move into an office, say"
2801,STRAINEDPEAS,Common baby food
2802,DOMINUS,"""___ vobiscum"" (""the Lord be with you"")"
2803,IMPACT,Influence
2804,SMALL,Minor
2805,PIN,One rolling dough
2806,LEI,Plumeria creation
2807,ADO,Stir
2808,YENS,Wants
2809,CAPN,___ Bill Weedles (Land of Oz character)
2810,ARIADNE,"""Bacchus and ___"" (Titian painting)"
2811,SEEPIN,Gradually become noticeable
2812,ESCAPE,Slip away
2813,STETS,Changes back
2814,MONOCLE,"Item worn by the Count on ""Sesame Street"""
2815,CEREAL,Post box's contents
2816,VIRGO,Spica's constellation
2817,ARENAS,Concert venues
2818,DOSIDOS,Back-to-back moves
2819,SAVANT,Eminent scholar
2820,EBAY,Company that bought (and later sold) Skype
2821,ARC,Cannonball's path
2822,LIRE,Old Roman coins
2823,MAS,More south of the border?
2824,DENOTED,Stood for
2825,ATONES,Makes up (for)
2826,MANSE,Parson's residence
2827,FORMICA,Over-the-counter product?
2828,BESTIES,Inseparable duo
2829,COBALT,Permanent magnet metal
2830,LOANER,Repair shop amenity
2831,XTERRA,Nissan model discontinued in 2015
2832,MODES,Statistical calculations
2833,ESTEE,Name on a bottle of Pleasures perfume
2834,ASTI,City near Turin
2835,SHIN,Hebrew letter on a dreidel
2836,POE,Noted writer who married his first cousin when she was 13
2837,AND,Along with
2838,SEP,National Grandparents' Day mo.
2839,TALC,Bottom topper?
2840,SNAP,"""Oh, ___!"""
2841,ETAS,Terminal info
2842,SIGH,"[Oh, well]"
2843,STABS,Attempts
2844,RANT,Tirade
2845,PRAIRIEOYS,*Great Plains plaints?
2846,NITE,"Late hours, in ads"
2847,MAXIMS,"""Better safe than sorry"" and others"
2848,LECHE,Café lightener
2849,UMPED,Did home work?
2850,GIMMESHEL,"*""Get Silverstein on the phone now!"""
2851,PEORIA,Caterpillar's Illinois home
2852,ONTIME,As per schedule
2853,STRAIGHTSHOO,"*Command like ""Let me be direct: Get lost!""?"
2854,YAK,Chin-wag
2855,OSAKA,City destroyed by Godzilla
2856,TMI,"""You're oversharing!"""
2857,PORTRAITPAIN,*Cramps from posing too long?
2858,SONOMA,California wine valley
2859,RULING,Supreme Court action
2860,TRAINSPOT,*Teach Dick and Jane's dog new tricks?
2861,NOLIE,"""I kid you not!"""
2862,ROSSI,Martini &amp; ___
2863,RAIDED,"Like refrigerators, at times"
2864,AMSO,"""Are not!"" rejoinder"
2865,LETTERDROP,"Opening at the post office ... or, when read as three words, a hint to the answers to the starred clues"
2866,WEAN,Withdraw slowly
2867,AXELS,Leaps on the ice
2868,EURO,Commercial lead-in to pass
2869,SOUS,___-chef
2870,NYSE,"Where Kellogg's is ""K"""
2871,DEBT,Visa concern
2872,TSP,1/48 of a cup: Abbr.
2873,AIR,Part of many carrier names
2874,LGA,"New York hub for Delta, briefly"
2875,CHIMERA,Fire-breathing monster of myth
2876,STEIG,Shrek creator William
2877,NAOMI,"Watts of ""The Impossible"""
2878,ABYSM,Bottomless pit
2879,PSS,"Often-overlooked email parts, briefly"
2880,ERNESTO,Auto designer Maserati
2881,TAICHI,Meditative exercises
2882,ANTHEM,"""La Marseillaise,"" for France"
2883,STEELE,"TV's ""Remington ___"""
2884,SIX,Eighty-___ (toss)
2885,RADII,Pie chart lines
2886,LENO,"Longtime host who wrote ""Leading With My Chin"""
2887,UPSY,"""___-daisy!"""
2888,META,Like thinking about thinking
2889,PORK,Bill fatteners
2890,MOHAIR,Material for a warm sweater
2891,AGORAS,Ancient markets
2892,HST,F.D.R.'s last veep
2893,TAR,La Brea goo
2894,SKA,Reggae grew from it
2895,TAIL,Meaty lobster part
2896,MINI,iPad ___
2897,INGE,"""Picnic"" Pulitzer winner William"
2898,POISONS,Bottles marked with a skull and crossbones
2899,OMNI,Former Dodge
2900,TUNER,Stereo component
2901,PLODDED,Trudged
2902,STRAWS,Attachments to juice boxes
2903,OROMEO,Call from Juliet
2904,NASSAU,Bahamian capital
2905,PREXY,College honcho
2906,OATES,Hall's partner in pop
2907,TITLE,Dr. or Mr.
2908,DES,"Some, along the Somme"
2909,LAN,Office PC connection
2910,RUE,Paris's ___ de Rivoli
2911,ORB,Heavenly object
2912,POT,Collection of bets
2913,SWIPELEFT,"Reject someone, in a way"
2914,SCRAP,Reject
2915,ARMADILLO,Mammal that jumps vertically when startled
2916,ARENA,Kind of seating
2917,TOMRIPLEY,"Sociopathic role for Alain Delon (1960), Matt Damon (1999) and John Malkovich (2002)"
2918,HADNT,Went without
2919,ATEIT,Face-planted
2920,EXCALIBUR,Vegas hotel with a name from English legend
2921,NERTS,"""Cheese and rice!"""
2922,RIAL,"1,000 baisa"
2923,SOLO,Without having a second to lose?
2924,ITSY,"Wee, informally"
2925,ABORIGINAL,Present from the start
2926,COE,Iowa college
2927,BIEN,First Indochina War's Battle of Dien ___ Phu
2928,MINERS,Ones taking a lode off?
2929,CARE,Worry
2930,LOSS,"Streak breaker, maybe"
2931,SCORNS,Puts down
2932,BENT,"Corrupt, in British slang"
2933,APR,Car ad letters
2934,CAPECODBAY,Giovanni da Verrazano discovery of 1524
2935,CLUE,"""Get a ___!"""
2936,APED,Made like
2937,FAQS,Users' resources
2938,CAMPS,Stays out all night?
2939,MINIATURE,Like dollhouse furnishings
2940,ORATE,"Keynote, e.g."
2941,MSNBC,Former employer of Keith Olbermann
2942,BIOBURDEN,Number of bacteria living on a surface that has not been sterilized
2943,ECOLE,___ des Beaux-Arts
2944,EBULLIENT,Bubbling over
2945,DEWED,"Aglisten, in a way"
2946,DSTUDENTS,60s sorts
2947,SATANIC,Hellish
2948,WROTETO,"Emailed, say"
2949,IMMERSE,Dunk
2950,PARITY,All things being equal?
2951,EDITS,Cross-outs and others
2952,LIP,Impudence
2953,ELLERBEE,"Linda ___, ""Girl Reporter"" series author"
2954,FLEXION,"Bodybuilder's pose, e.g."
2955,TOYCAR,Matchbox item
2956,SAHL,"Satirist who said ""If you were the only person left on the planet, I would have to attack you. That's my job"""
2957,CRAISINS,Trail mix ingredients
2958,REDBONE,Hunting dog breed
2959,ANNULAR,Shaped like Cheerios
2960,PATROLS,Keeps the beat?
2961,ALIMONY,High cost of leaving?
2962,AIRSOFT,Sport similar to paintball
2963,GIST,Essence
2964,BANC,Seat in court
2965,CREDIBLE,Having a ring of truth
2966,LEASEOUT,"Offer on Airbnb, say"
2967,SCAMMED,Taken to the cleaners
2968,CAPISCE,"""Ya got me?"""
2969,OPENNOW,Note in a Yelp business listing
2970,BBQRIBS,Entree often served with a moist towelette
2971,ALMADEN,Popular California winemaker
2972,PUPTENT,Boy Scout shelter
2973,RESENTS,Is rankled by
2974,DAUBED,"Applied, as face paint"
2975,CARRIE,Stephen King's first novel
2976,COULD,Had the know-how
2977,ACED,"Slipped one by, in a way"
2978,BLU,Primary color in italiano
2979,OLAV,Name of five Norwegian kings
2980,OFART,Words after work or museum
2981,SHAH,Former Iranian leader
2982,SOLO,How Charles Lindbergh flew across the Atlantic
2983,NIMES,French department capital known in Roman times as Nemausus
2984,COSA,___ Nostra (crime group)
2985,HALLOFFAME,Rock and roll has one in Cleveland
2986,ANTI,Pro's opposite
2987,ATF,Org. that monitors gun sales
2988,GOTTO,Reached
